Año,Edad,Causa de muerte,Total,Hombres,Mujeres
2009,1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",350,196,154
2009,1- 6 días,Sepsis bacteriana del recién nacido,223,134,89
2009,1- 6 días,Dificultad respiratoria del recién nacido,212,144,68
2009,1- 6 días,Síndromes de aspiración neonatal,174,92,82
2009,1- 6 días,Neumonía congénita,117,57,60
2009,1- 6 días,Hipoxia intrauterina,89,44,45
2009,1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",86,43,43
2009,1- 6 días,Asfixia del nacimiento,29,12,17
2009,1- 6 días,Trastornos cardiovasculares originados en el período perinatal,27,18,9
2009,1- 6 días,Otras malformaciones congénitas del corazón,26,13,13
2009,1- 6 días,"Neumonía, organismo no especificado",21,17,4
2009,1- 6 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",20,11,9
2009,1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,20,13,7
2009,1- 6 días,Otras alteraciones de la regulación de la temperatura en el recién nacido,19,8,11
2009,1- 6 días,Otras afecciones originadas en el período perinatal,15,14,1
2009,1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",45,26,19
2009,1- 6 días,Otras causas,240,141,99
2009,7 - 27 días,Sepsis bacteriana del recién nacido,234,135,99
2009,7 - 27 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",208,124,84
2009,7 - 27 días,Neumonía congénita,170,96,74
2009,7 - 27 días,Dificultad respiratoria del recién nacido,114,64,50
2009,7 - 27 días,Síndromes de aspiración neonatal,66,31,35
2009,7 - 27 días,"Neumonía, organismo no especificado",48,28,20
2009,7 - 27 días,"Otras malformaciones congénitas, no clasificadas en otra parte",42,24,18
2009,7 - 27 días,Enterocolitis necrotizante del feto y del recién nacido,40,20,20
2009,7 - 27 días,Hipoxia intrauterina,38,19,19
2009,7 - 27 días,Otras malformaciones congénitas del corazón,30,20,10
2009,7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,28,14,14
2009,7 - 27 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",27,13,14
