Año,Departamento de residencia,Causa de muerte,Total,Hombres,Mujeres
2009,Guatemala,"Agresión con disparo de otras armas de fuego, y las no especificadas","1,936","1,728",208
2009,Guatemala,"Diabetes mellitus, no especificada",934,414,520
2009,Guatemala,Infarto agudo del miocardio,870,446,424
2009,Guatemala,Exposición a factores no especificados,844,703,141
2009,Guatemala,"Neumonía, organismo no especificado",756,392,364
2009,Guatemala,Fibrosis y cirrosis del hígado,484,312,172
2009,Guatemala,"Desnutrición proteicocalórica, no especificada",448,191,257
2009,Guatemala,Diabetes mellitus no insulinodependiente,420,187,233
2009,Guatemala,Insuficiencia cardíaca,327,155,172
2009,Guatemala,Tumor maligno del estómago,326,147,179
2009,Guatemala,Tumor maligno del hígado y de las vías biliares intrahepáticas,311,152,159
2009,Guatemala,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",283,153,130
2009,Guatemala,Insuficiencia renal crónica,278,133,145
2009,Guatemala,Otras enfermedades cerebrovasculares,227,101,126
2009,Guatemala,Diarrea y gastroenteritis de presunto origen infeccioso,223,128,95
2009,Guatemala,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",810,384,426
2009,Guatemala,Otras causas,"7,41","3,979","3,431"
2009,El Progreso,Infarto agudo del miocardio,113,64,49
2009,El Progreso,"Agresión con disparo de otras armas de fuego, y las no especificadas",84,77,7
2009,El Progreso,"Neumonía, organismo no especificado",59,35,24
2009,El Progreso,"Diabetes mellitus, no especificada",55,24,31
2009,El Progreso,Exposición a factores no especificados,42,35,7
2009,El Progreso,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",38,20,18
2009,El Progreso,"Desnutrición proteicocalórica, no especificada",27,18,9
2009,El Progreso,Hipertensión esencial (primaria),23,7,16
2009,El Progreso,Tumor maligno del hígado y de las vías biliares intrahepáticas,20,9,11
2009,El Progreso,Diabetes mellitus no insulinodependiente,20,6,14
2009,El Progreso,Otras enfermedades cerebrovasculares,20,6,14
2009,El Progreso,Tumor maligno del estómago,19,12,7
2009,El Progreso,Secuelas de otros efectos y los no especificados de causas externas,18,15,3
2009,El Progreso,Fibrosis y cirrosis del hígado,17,10,7
2009,El Progreso,Otras enfermedades pulmonares obstructivas crónicas,16,9,7
2009,El Progreso,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",29,14,15
2009,El Progreso,Otras causas,428,229,199
2009,Sacatepequez,"Neumonía, organismo no especificado",128,72,56
2009,Sacatepequez,Exposición a factores no especificados,100,84,16
2009,Sacatepequez,"Desnutrición proteicocalórica, no especificada",72,30,42
2009,Sacatepequez,"Diabetes mellitus, no especificada",65,26,39
2009,Sacatepequez,"Agresión con disparo de otras armas de fuego, y las no especificadas",53,44,9
2009,Sacatepequez,Diabetes mellitus no insulinodependiente,48,20,28
2009,Sacatepequez,Fibrosis y cirrosis del hígado,46,30,16
2009,Sacatepequez,Trastornos mentales y del comportamiento debidos al uso de alcohol,44,43,1
2009,Sacatepequez,Infarto agudo del miocardio,44,28,16
2009,Sacatepequez,Tumor maligno del estómago,34,11,23
2009,Sacatepequez,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",34,11,23
2009,Sacatepequez,Tumor maligno del hígado y de las vías biliares intrahepáticas,33,9,24
2009,Sacatepequez,Diarrea y gastroenteritis de presunto origen infeccioso,32,19,13
2009,Sacatepequez,Enfermedad alcohólica del hígado,31,28,3
2009,Sacatepequez,Insuficiencia cardíaca,30,11,19
2009,Sacatepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",90,43,47
2009,Sacatepequez,Otras causas,653,338,315
2009,Chimaltenango,"Neumonía, organismo no especificado",338,175,163
2009,Chimaltenango,Exposición a factores no especificados,161,129,32
2009,Chimaltenango,Insuficiencia cardíaca,136,67,69
2009,Chimaltenango,Infarto agudo del miocardio,120,66,54
2009,Chimaltenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,104,97,7
2009,Chimaltenango,Enfermedad alcohólica del hígado,100,79,21
2009,Chimaltenango,Tumor maligno del estómago,98,47,51
2009,Chimaltenango,"Diabetes mellitus, no especificada",89,34,55
2009,Chimaltenango,Otras enfermedades pulmonares obstructivas crónicas,78,46,32
2009,Chimaltenango,Fibrosis y cirrosis del hígado,76,52,24
2009,Chimaltenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",75,71,4
2009,Chimaltenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",61,28,33
2009,Chimaltenango,"Desnutrición proteicocalórica, no especificada",58,25,33
2009,Chimaltenango,Sepsis bacteriana del recién nacido,46,25,21
2009,Chimaltenango,Insuficiencia renal no especificada,45,16,29
2009,Chimaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",128,60,68
2009,Chimaltenango,Otras causas,957,512,445
2009,Escuintla,"Agresión con disparo de otras armas de fuego, y las no especificadas",358,335,23
2009,Escuintla,Exposición a factores no especificados,290,257,33
2009,Escuintla,"Neumonía, organismo no especificado",211,114,97
2009,Escuintla,"Diabetes mellitus, no especificada",210,86,124
2009,Escuintla,Diarrea y gastroenteritis de presunto origen infeccioso,203,112,91
2009,Escuintla,Infarto agudo del miocardio,172,103,69
2009,Escuintla,"Desnutrición proteicocalórica, no especificada",109,62,47
2009,Escuintla,Fibrosis y cirrosis del hígado,92,67,25
2009,Escuintla,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",77,60,17
2009,Escuintla,Tumor maligno del hígado y de las vías biliares intrahepáticas,71,37,34
2009,Escuintla,Insuficiencia renal crónica,65,38,27
2009,Escuintla,Diabetes mellitus no insulinodependiente,56,20,36
2009,Escuintla,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",56,33,23
2009,Escuintla,Tumor maligno del estómago,51,25,26
2009,Escuintla,Otras septicemias,39,24,15
2009,Escuintla,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",434,199,235
2009,Escuintla,Otras causas,"1,456",874,582
2009,Santa Rosa,"Agresión con disparo de otras armas de fuego, y las no especificadas",200,177,23
2009,Santa Rosa,Infarto agudo del miocardio,137,77,60
2009,Santa Rosa,Exposición a factores no especificados,127,106,21
2009,Santa Rosa,"Neumonía, organismo no especificado",121,69,52
2009,Santa Rosa,Insuficiencia cardíaca,115,62,53
2009,Santa Rosa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",89,38,51
2009,Santa Rosa,"Diabetes mellitus, no especificada",83,26,57
2009,Santa Rosa,Insuficiencia renal crónica,49,29,20
2009,Santa Rosa,Fibrosis y cirrosis del hígado,48,36,12
2009,Santa Rosa,Tumor maligno del estómago,43,19,24
2009,Santa Rosa,Tumor maligno del hígado y de las vías biliares intrahepáticas,38,20,18
2009,Santa Rosa,Diabetes mellitus no insulinodependiente,35,14,21
2009,Santa Rosa,Trastornos mentales y del comportamiento debidos al uso de alcohol,30,30,-
2009,Santa Rosa,Hipertensión esencial (primaria),30,12,18
2009,Santa Rosa,Diarrea y gastroenteritis de presunto origen infeccioso,29,18,11
2009,Santa Rosa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",53,28,25
2009,Santa Rosa,Otras causas,840,471,369
2009,Solola,"Neumonía, organismo no especificado",234,129,105
2009,Solola,"Desnutrición proteicocalórica, no especificada",99,41,58
2009,Solola,Exposición a factores no especificados,82,66,16
2009,Solola,Diarrea y gastroenteritis de presunto origen infeccioso,67,33,34
2009,Solola,Trastornos mentales y del comportamiento debidos al uso de alcohol,64,55,9
2009,Solola,Infarto agudo del miocardio,53,22,31
2009,Solola,"Diabetes mellitus, no especificada",48,20,28
2009,Solola,Fibrosis y cirrosis del hígado,41,27,14
2009,Solola,"Agresión con disparo de otras armas de fuego, y las no especificadas",37,37,-
2009,Solola,Otras septicemias,35,14,21
2009,Solola,Tumor maligno del estómago,30,14,16
2009,Solola,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",28,13,15
