Año,Tipo,Departamento_residencia,Todas las causas,Total,Hombres,Mujeres,Ignorado
2009,Internos,Guatemala,Nacidos vivos según lugar de nacimiento,5475,2747,2671,57
2009,Internos,Guatemala,Diarrea y gastroenteritis de presunto origen infeccioso,3948,1785,2157,6
2009,Internos,Guatemala,Parto único por cesárea,3136,,3136,
2009,Internos,Guatemala,Parto único espontáneo,2366,,2366,
2009,Internos,Guatemala,Colecistitis,1983,537,1441,5
2009,Internos,Guatemala,Otros traumatismos y los no especificados del pie y del tobillo,1954,950,1001,3
2009,Internos,Guatemala,Otros traumatismos y los no especificados de la muñeca y de la mano,1783,979,801,3
2009,Internos,Guatemala,Apendicitis aguda,1717,728,983,6
2009,Internos,Guatemala,"Neumonía, organismo no especificado",1446,728,715,3
2009,Internos,Guatemala,Procedimientos para otros propósitos que no sean los de mejorar el estado de salud,1370,134,1235,1
2009,Internos,Guatemala,Otros traumatismos y los no especificados de la cabeza,1206,707,499,
2009,Internos,Guatemala,Hipertensión esencial (primaria),1112,385,725,2
2009,Internos,Guatemala,Traumatismo de regiones no especificadas del cuerpo,1102,631,463,8
2009,Internos,Guatemala,"Traumatismos múltiples, no especificados",1086,599,484,3
2009,Internos,Guatemala,Leiomioma del útero,1032,,1032,
2009,Internos,Guatemala,Otras enfermedades del estómago y del duodeno,962,377,583,2
2009,Internos,Guatemala,Aborto no especificado,858,,858,
2009,Internos,Guatemala,"Diabetes mellitus, no especificada",841,349,488,4
2009,Internos,Guatemala,"Otros trastornos no inflamatorios del útero, excepto del cuello",765,,765,
2009,Internos,Guatemala,Otros trastornos del sistema urinario,733,173,559,1
2009,Internos,Guatemala,Otros trastornos de los discos intervertebrales,688,306,379,3
2009,Internos,Guatemala,Hernia inguinal,649,432,216,1
2009,Internos,Guatemala,Otros trastornos de la nariz y de los senos paranasales,581,277,302,2
2009,Internos,Guatemala,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",531,228,301,2
2009,Internos,Guatemala,Dorsalgia,529,244,285,
2009,Internos,Guatemala,Otros traumatismos y los no especificados de la pierna,523,284,239,
2009,Internos,Guatemala,Amigdalitis aguda,512,232,279,1
2009,Internos,Guatemala,Cálculo del riñón y del uréter,507,331,173,3
2009,Internos,Guatemala,Otros traumatismos y los no especificados del hombro y del brazo,487,254,233,
2009,Internos,Guatemala,Hiperplasia de la próstata,451,451,,
2009,Internos,Guatemala,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",9624,3974,5631,19
2009,Internos,Guatemala,Otras causas,31306,13387,17846,73
2009,Internos,El Progreso,Nacidos vivos según lugar de nacimiento,103,62,41,
2009,Internos,El Progreso,Parto único por cesárea,90,,90,
2009,Internos,El Progreso,Diarrea y gastroenteritis de presunto origen infeccioso,87,38,49,
2009,Internos,El Progreso,Apendicitis aguda,70,40,30,
2009,Internos,El Progreso,Hipertensión esencial (primaria),65,19,46,
2009,Internos,El Progreso,"Neumonía, organismo no especificado",62,24,38,
2009,Internos,El Progreso,Parto único espontáneo,53,,53,
2009,Internos,El Progreso,"Otros trastornos no inflamatorios del útero, excepto del cuello",36,,36,
2009,Internos,El Progreso,Otros trastornos del sistema urinario,34,9,25,
2009,Internos,El Progreso,"Diabetes mellitus, no especificada",30,11,19,
2009,Internos,El Progreso,Aborto no especificado,30,,30,
2009,Internos,El Progreso,"Estado de embarazo, incidental",28,,28,
2009,Internos,El Progreso,Diabetes mellitus no insulinodependiente,26,9,17,
2009,Internos,El Progreso,Leiomioma del útero,25,,25,
2009,Internos,El Progreso,Colecistitis,25,4,21,
2009,Internos,El Progreso,"Traumatismos múltiples, no especificados",25,14,11,
